node_o,node_d,distance
S_TP,J_TP,32.16597155
J_TP,G_TP,37.54282305
J_TP,G_MAIN,30.97926708
S_PH,J_PH_2F_l,28.3607548
J_PH_2F_l,G_PH_l,38.87334894
J_PH_2F_l,J_PH_2F_r,46.99096859
S_PH,J_PH_2F_r,28.21741228
J_PH_2F_r,G_PH_r,70.92127071
J_PH_2F_r,G_MAIN,107.5931566
S_OH_2F,J_OH_2F_l,38.66732511
J_OH_2F_l,G_MAIN,19.23614462
J_OH_2F_l,G_OH_l,40.73420953
S_OH_2F,J_OH_2F_r,42.40308349
J_OH_2F_r,G_OH_r,35.42845229
J_OH_2F_r,J_OH_2F_l,65.00765798
S_OH_3F,J_OH_3F_l,32.94296683
J_OH_3F_l,G_OH_l,47.48387994
J_OH_3F_l,J_OH_2F_l,8.016326352
S_OH_3F,J_OH_3F_r,32.84609049
J_OH_3F_r,G_OH_r,47.19652159
J_OH_3F_r,J_OH_2F_r,13.04194432
S_OH_4F,J_OH_4F_l,32.63826344
J_OH_4F_l,G_OH_l,48.51952552
J_OH_4F_l,J_OH_3F_l,4.301361725
S_OH_4F,J_OH_4F_r,32.69203434
J_OH_4F_r,G_OH_r,48.78576825
J_OH_4F_r,J_OH_3F_r,4.347366855
S_OH_5F,J_OH_5F_l,20.07812962
J_OH_5F_l,J_OH_4F_l,13.7882451
S_OH_5F,J_OH_5F_r,20.72092987
J_OH_5F_r,J_OH_4F_r,13.56653118
