,seat,id,from,to,x,y,z
0,TP_S_B1_A3_01,_p08938,_p08696,_p08875,-13385.11005,35250.10388,-5.431
1,TP_S_B1_A3_02,_p08945,_p08875,_p08887,-13384.6931,35249.79461,-5.431
2,TP_S_B1_A3_03,_p08951,_p08887,_p08889,-13384.28287,35249.48659,-5.431
3,TP_S_B1_A3_04,_p08952,_p08889,_p08890,-13383.90298,35249.20556,-5.431
4,TP_S_B1_A3_05,_p08965,_p08890,_p08891,-13383.5045,35248.90587,-5.431
5,TP_S_B1_A3_06,_p09075,_p08697,_p09071,-13382.30748,35247.99853,-5.431
6,TP_S_B1_A3_07,_p09076,_p09071,_p09072,-13381.90939,35247.69526,-5.431
7,TP_S_B1_A3_08,_p09077,_p09072,_p09073,-13381.51031,35247.3847,-5.431
8,TP_S_B1_A3_09,_p09078,_p09073,_p08552,-13381.13296,35247.09723,-5.431
9,TP_S_B1_A3_10,_p09083,_p08552,_p09079,-13380.73925,35246.79735,-5.431
10,TP_S_B1_A3_11,_p09084,_p09079,_p09080,-13380.35239,35246.49639,-5.431
11,TP_S_B1_A3_12,_p09085,_p09080,_p09081,-13379.98155,35246.2076,-5.431
12,TP_S_B1_A3_13,_p09086,_p09081,_p09082,-13379.56393,35245.88945,-5.431
13,TP_S_B1_A3_14,_p09100,_p09088,_p09089,-13378.35312,35244.97258,-5.431
14,TP_S_B1_A3_15,_p09108,_p09089,_p09090,-13377.94337,35244.66407,-5.431
15,TP_S_B1_A3_16,_p09109,_p09090,_p09091,-13377.54296,35244.36772,-5.431
16,TP_S_B1_A3_17,_p09110,_p09091,_p09092,-13377.14575,35244.06752,-5.431
17,TP_S_B1_A3_18,_p09111,_p09092,_p09093,-13376.74336,35243.76661,-5.431
18,TP_S_B1_B1_18,_p09120,_p09113,_p09114,-13376.19827,35244.46953,-5.431
19,TP_S_B1_B1_17,_p09121,_p09114,_p09115,-13376.6229,35244.78673,-5.431
20,TP_S_B1_B1_16,_p09122,_p09115,_p09116,-13377.00117,35245.07032,-5.431
21,TP_S_B1_B1_15,_p09126,_p09116,_p09117,-13377.37785,35245.3527,-5.431
22,TP_S_B1_B1_14,_p09127,_p09117,_p09118,-13377.7941,35245.66809,-5.431
23,TP_S_B1_B1_13,_p09134,_p09129,_p09130,-13378.98108,35246.58426,-5.431
24,TP_S_B1_B1_12,_p09135,_p09130,_p09131,-13379.37389,35246.87722,-5.431
25,TP_S_B1_B1_11,_p09136,_p09131,_p09132,-13379.77466,35247.17623,-5.431
26,TP_S_B1_B1_10,_p09137,_p09132,_p08557,-13380.16932,35247.48468,-5.431
27,TP_S_B1_B2_18,_p09161,_p09148,_p09149,-13375.64968,35245.15822,-5.431
28,TP_S_B1_B2_17,_p09162,_p09149,_p09150,-13376.05509,35245.46924,-5.431
29,TP_S_B1_B2_16,_p09163,_p09150,_p09151,-13376.44526,35245.77882,-5.431
30,TP_S_B1_B2_15,_p09164,_p09151,_p09152,-13376.82642,35246.06919,-5.431
31,TP_S_B1_B2_14,_p09165,_p09152,_p09160,-13377.25806,35246.39403,-5.431
32,TP_S_B1_B2_13,_p09194,_p09176,_p09177,-13378.45681,35247.31027,-5.431
33,TP_S_B1_B2_11,_p09199,_p09178,_p09179,-13379.26478,35247.93199,-5.431
34,TP_S_B1_B2_10,_p09200,_p09179,_p08563,-13379.68499,35248.24589,-5.431
35,TP_S_B1_B2_09,_p09201,_p08563,_p09184,-13380.05963,35248.53763,-5.431
36,TP_S_B1_B2_08,_p09202,_p09184,_p09186,-13380.44608,35248.83203,-5.431
37,TP_S_B1_B2_07,_p09203,_p09186,_p09187,-13380.84755,35249.13095,-5.431
38,TP_S_B1_B2_06,_p09204,_p09187,_p09188,-13381.24333,35249.42409,-5.431
39,TP_S_B1_B1_09,_p09205,_p08557,_p09138,-13380.56492,35247.80013,-5.431
40,TP_S_B1_B1_08,_p09206,_p09138,_p09139,-13380.96664,35248.10616,-5.431
41,TP_S_B1_B1_07,_p09207,_p09139,_p09140,-13381.35547,35248.39608,-5.431
42,TP_S_B1_B1_06,_p09208,_p09140,_p09141,-13381.74033,35248.68298,-5.431
43,TP_S_B1_B2_12,_p09213,_p09177,_p09178,-13378.84657,35247.6134,-5.431
44,TP_S_B1_B1_05,_p09215,_p09142,_p09143,-13382.94478,35249.59916,-5.431
45,TP_S_B1_B1_04,_p09216,_p09143,_p09144,-13383.3468,35249.90256,-5.431
46,TP_S_B1_B1_03,_p09217,_p09144,_p09145,-13383.73728,35250.19166,-5.431
47,TP_S_B1_B1_02,_p09218,_p09145,_p09146,-13384.1307,35250.48582,-5.431
48,TP_S_B1_B1_01,_p09219,_p09146,_p09147,-13384.56883,35250.81122,-5.431
49,TP_S_B1_B3_18,_p09236,_p09172,_p09171,-13375.08857,35245.91697,-5.165
50,TP_S_B1_B3_17,_p09237,_p09171,_p09233,-13375.5132,35246.23417,-5.165
51,TP_S_B1_B3_16,_p09238,_p09233,_p09173,-13375.89105,35246.52201,-5.165
52,TP_S_B1_B3_15,_p09239,_p09173,_p09174,-13376.28481,35246.82198,-5.165
53,TP_S_B1_B3_14,_p09241,_p09174,_p09175,-13376.70243,35247.14012,-5.165
54,TP_S_B1_B2_05,_p09265,_p09227,_p09222,-13382.44781,35250.3342,-5.431
55,TP_S_B1_B2_04,_p09266,_p09222,_p09223,-13382.82261,35250.6262,-5.431
56,TP_S_B1_B2_03,_p09267,_p09223,_p09224,-13383.20004,35250.92019,-5.431
57,TP_S_B1_B2_02,_p09268,_p09224,_p09225,-13383.59818,35251.22349,-5.431
58,TP_S_B1_B2_01,_p09269,_p09225,_p09226,-13383.99193,35251.52345,-5.431
59,TP_S_B1_B3_05,_p09272,_p09221,_p09228,-13381.86095,35251.03986,-5.165
60,TP_S_B1_B3_04,_p09273,_p09228,_p09229,-13382.27924,35251.35841,-5.165
61,TP_S_B1_B3_03,_p09274,_p09229,_p09230,-13382.67614,35251.66245,-5.165
62,TP_S_B1_B3_09,_p09278,_p08568,_p09185,-13379.49909,35249.26723,-5.165
63,TP_S_B1_B3_08,_p09279,_p09185,_p09191,-13379.86606,35249.54791,-5.165
64,TP_S_B1_B3_07,_p09280,_p09191,_p09190,-13380.25243,35249.84337,-5.165
65,TP_S_B1_B3_06,_p09281,_p09190,_p09189,-13380.67694,35250.16159,-5.165
66,TP_S_B1_B3_13,_p09284,_p09183,_p09182,-13377.8909,35248.05376,-5.165
67,TP_S_B1_B3_12,_p09285,_p09182,_p09181,-13378.28466,35248.35373,-5.165
68,TP_S_B1_B3_11,_p09286,_p09181,_p09180,-13378.68335,35248.66373,-5.165
69,TP_S_B1_B3_10,_p09287,_p09180,_p08568,-13379.09155,35248.96573,-5.165
70,TP_S_B1_C1_18,_p09294,_p09289,_p09288,-13373.97737,35247.33191,-4.9
71,TP_S_B1_C1_17,_p09295,_p09288,_p09293,-13374.41488,35247.66521,-4.9
72,TP_S_B1_C1_16,_p09296,_p09293,_p09290,-13374.81261,35247.9682,-4.9
73,TP_S_B1_C1_15,_p09297,_p09290,_p09291,-13375.18743,35248.26002,-4.9
74,TP_S_B1_C1_14,_p09298,_p09291,_p09292,-13375.60169,35248.57928,-4.9
75,TP_S_B1_C2_18,_p09305,_p09300,_p09299,-13373.44315,35248.02492,-4.635
76,TP_S_B1_C2_17,_p09306,_p09299,_p09304,-13373.85585,35248.33303,-4.635
77,TP_S_B1_C2_16,_p09307,_p09304,_p09301,-13374.27252,35248.64417,-4.635
78,TP_S_B1_C2_15,_p09308,_p09301,_p09302,-13374.66656,35248.94047,-4.635
79,TP_S_B1_C2_14,_p09309,_p09302,_p09303,-13375.05199,35249.23651,-4.635
80,TP_S_B1_C3_18,_p09316,_p09311,_p09310,-13372.92588,35248.77893,-4.369
81,TP_S_B1_C3_17,_p09317,_p09310,_p09315,-13373.32997,35249.09275,-4.369
82,TP_S_B1_C3_16,_p09318,_p09315,_p09312,-13373.70822,35249.38519,-4.369
83,TP_S_B1_C3_15,_p09319,_p09312,_p09313,-13374.10198,35249.68516,-4.369
84,TP_S_B1_C3_14,_p09320,_p09313,_p09314,-13374.5196,35250.0033,-4.369
85,TP_S_B1_C4_18,_p09327,_p09322,_p09321,-13372.38843,35249.51813,-4.104
86,TP_S_B1_C4_17,_p09328,_p09321,_p09326,-13372.81366,35249.84151,-4.104
87,TP_S_B1_C4_16,_p09329,_p09326,_p09323,-13373.19151,35250.12936,-4.104
88,TP_S_B1_C4_15,_p09330,_p09323,_p09324,-13373.58527,35250.42932,-4.104
89,TP_S_B1_C4_14,_p09331,_p09324,_p09325,-13374.0029,35250.74746,-4.104
90,TP_S_B1_C5_18,_p09338,_p09333,_p09332,-13371.84479,35250.25203,-3.838
91,TP_S_B1_C5_17,_p09339,_p09332,_p09337,-13372.25713,35250.57207,-3.838
92,TP_S_B1_C5_16,_p09340,_p09337,_p09334,-13372.63498,35250.85991,-3.838
93,TP_S_B1_C5_15,_p09341,_p09334,_p09335,-13373.02874,35251.15988,-3.838
94,TP_S_B1_C5_14,_p09342,_p09335,_p09336,-13373.43176,35251.46097,-3.838
95,TP_S_B1_C6_18,_p09349,_p09344,_p09343,-13371.27786,35250.99132,-3.573
96,TP_S_B1_C6_17,_p09350,_p09343,_p09348,-13371.69253,35251.31321,-3.573
97,TP_S_B1_C6_16,_p09351,_p09348,_p09345,-13372.07038,35251.60105,-3.573
98,TP_S_B1_C6_15,_p09352,_p09345,_p09346,-13372.46836,35251.89041,-3.573
99,TP_S_B1_C6_14,_p09353,_p09346,_p09347,-13372.89627,35252.19,-3.573
100,TP_S_B1_D1_18,_p09360,_p09355,_p09354,-13370.70764,35251.63598,-3.308
101,TP_S_B1_D1_17,_p09361,_p09354,_p09359,-13371.12186,35251.96007,-3.308
102,TP_S_B1_D1_16,_p09362,_p09359,_p09356,-13371.50376,35252.25699,-3.308
103,TP_S_B1_D1_15,_p09363,_p09356,_p09357,-13371.89752,35252.55696,-3.308
104,TP_S_B1_D1_14,_p09364,_p09357,_p09358,-13372.31514,35252.8751,-3.308
105,TP_S_B1_D2_18,_p09376,_p09366,_p09365,-13370.21162,35252.37569,-3.042
106,TP_S_B1_D2_17,_p09384,_p09365,_p09375,-13370.62534,35252.69214,-3.042
107,TP_S_B1_D2_16,_p09385,_p09375,_p09367,-13371.00319,35252.97998,-3.042
108,TP_S_B1_D2_15,_p09386,_p09367,_p09373,-13371.39695,35253.27995,-3.042
109,TP_S_B1_D2_14,_p09390,_p09373,_p09374,-13371.81457,35253.59809,-3.042
110,TP_S_B1_D3_18,_p09401,_p09396,_p09395,-13369.62977,35253.0726,-2.777
111,TP_S_B1_D3_17,_p09402,_p09395,_p09400,-13370.05535,35253.39681,-2.777
112,TP_S_B1_D3_16,_p09403,_p09400,_p09397,-13370.45005,35253.70378,-2.777
113,TP_S_B1_D3_15,_p09404,_p09397,_p09398,-13370.84476,35254.01075,-2.777
114,TP_S_B1_D3_14,_p09405,_p09398,_p09399,-13371.2495,35254.3128,-2.777
115,TP_S_B1_D4_18,_p09412,_p09407,_p09406,-13369.08512,35253.8174,-2.512
116,TP_S_B1_D4_17,_p09413,_p09406,_p09411,-13369.50975,35254.1346,-2.512
117,TP_S_B1_D4_16,_p09414,_p09411,_p09408,-13369.8876,35254.42244,-2.512
118,TP_S_B1_D4_15,_p09415,_p09408,_p09409,-13370.28136,35254.7224,-2.512
119,TP_S_B1_D4_14,_p09416,_p09409,_p09410,-13370.69898,35255.04055,-2.512
120,TP_S_B1_D5_18,_p09423,_p09418,_p09417,-13368.52858,35254.54795,-2.246
121,TP_S_B1_D5_17,_p09424,_p09417,_p09422,-13368.95321,35254.86515,-2.246
122,TP_S_B1_D5_16,_p09425,_p09422,_p09419,-13369.33106,35255.15299,-2.246
123,TP_S_B1_D5_15,_p09426,_p09419,_p09420,-13369.72482,35255.45296,-2.246
124,TP_S_B1_D5_14,_p09427,_p09420,_p09421,-13370.14245,35255.7711,-2.246
125,TP_S_B1_D6_18,_p09434,_p09429,_p09428,-13367.98818,35255.25733,-1.981
126,TP_S_B1_D6_17,_p09435,_p09428,_p09433,-13368.41281,35255.57453,-1.981
127,TP_S_B1_D6_16,_p09439,_p09433,_p09430,-13368.79066,35255.86237,-1.981
128,TP_S_B1_D6_15,_p09440,_p09430,_p09431,-13369.18442,35256.16234,-1.981
129,TP_S_B1_D6_14,_p09441,_p09431,_p09432,-13369.60204,35256.48048,-1.981
130,TP_S_B1_CB_18,_p09448,_p09443,_p09442,-13367.40997,35256.0383,-1.715
131,TP_S_B1_CB_17,_p09449,_p09442,_p09447,-13367.8346,35256.3555,-1.715
132,TP_S_B1_CB_16,_p09450,_p09447,_p09444,-13368.21245,35256.64335,-1.715
133,TP_S_B1_CB_15,_p09451,_p09444,_p09445,-13368.60621,35256.94331,-1.715
134,TP_S_B1_CB_14,_p09452,_p09445,_p09446,-13369.02719,35257.25336,-1.715
135,TP_S_B1_C1_05,_p09462,_p09454,_p09453,-13380.76825,35252.4942,-4.9
136,TP_S_B1_C1_04,_p09463,_p09453,_p09461,-13381.19288,35252.8114,-4.9
137,TP_S_B1_C1_03,_p09464,_p09461,_p09455,-13381.57073,35253.09924,-4.9
138,TP_S_B1_C1_02,_p09465,_p09455,_p09456,-13381.96449,35253.39921,-4.9
139,TP_S_B1_C1_01,_p09466,_p09456,_p09460,-13382.38211,35253.71735,-4.9
140,TP_S_B1_C2_05,_p09476,_p09468,_p09467,-13380.22812,35253.17399,-4.635
141,TP_S_B1_C2_04,_p09477,_p09467,_p09472,-13380.65275,35253.49119,-4.635
142,TP_S_B1_C2_03,_p09478,_p09472,_p09469,-13381.0306,35253.77903,-4.635
143,TP_S_B1_C2_02,_p09479,_p09469,_p09470,-13381.42436,35254.07899,-4.635
144,TP_S_B1_C2_01,_p09480,_p09470,_p09471,-13381.84198,35254.39714,-4.635
145,TP_S_B1_C3_05,_p09487,_p09482,_p09481,-13379.6947,35253.90343,-4.369
146,TP_S_B1_C3_04,_p09488,_p09481,_p09486,-13380.11933,35254.22063,-4.369
147,TP_S_B1_C3_03,_p09489,_p09486,_p09483,-13380.49718,35254.50847,-4.369
148,TP_S_B1_C3_02,_p09490,_p09483,_p09484,-13380.89094,35254.80844,-4.369
149,TP_S_B1_C3_01,_p09491,_p09484,_p09485,-13381.30857,35255.12658,-4.369
150,TP_S_B1_C4_05,_p09498,_p09493,_p09492,-13379.13646,35254.63623,-4.104
151,TP_S_B1_C4_04,_p09499,_p09492,_p09497,-13379.56109,35254.95343,-4.104
152,TP_S_B1_C4_03,_p09500,_p09497,_p09494,-13379.93894,35255.24127,-4.104
153,TP_S_B1_C4_02,_p09501,_p09494,_p09495,-13380.3327,35255.54124,-4.104
154,TP_S_B1_C4_01,_p09502,_p09495,_p09496,-13380.75032,35255.85938,-4.104
155,TP_S_B1_C5_05,_p09509,_p09504,_p09503,-13378.57398,35255.35789,-3.838
156,TP_S_B1_C5_04,_p09510,_p09503,_p09508,-13379.00285,35255.68623,-3.838
157,TP_S_B1_C5_03,_p09511,_p09508,_p09505,-13379.3807,35255.97407,-3.838
158,TP_S_B1_C5_02,_p09512,_p09505,_p09506,-13379.77446,35256.27404,-3.838
