,hall,floor,row,col,seat
0,OH,1F,01,07,OH_S_1F_01_07
1,OH,1F,01,08,OH_S_1F_01_08
2,OH,1F,01,09,OH_S_1F_01_09
3,OH,1F,01,10,OH_S_1F_01_10
4,OH,1F,01,11,OH_S_1F_01_11
5,OH,1F,01,12,OH_S_1F_01_12
6,OH,1F,01,13,OH_S_1F_01_13
7,OH,1F,01,14,OH_S_1F_01_14
8,OH,1F,01,15,OH_S_1F_01_15
9,OH,1F,01,16,OH_S_1F_01_16
10,OH,1F,01,17,OH_S_1F_01_17
11,OH,1F,01,18,OH_S_1F_01_18
12,OH,1F,01,19,OH_S_1F_01_19
13,OH,1F,01,20,OH_S_1F_01_20
14,OH,1F,01,21,OH_S_1F_01_21
15,OH,1F,01,22,OH_S_1F_01_22
16,OH,1F,01,23,OH_S_1F_01_23
17,OH,1F,01,24,OH_S_1F_01_24
18,OH,1F,01,25,OH_S_1F_01_25
19,OH,1F,01,26,OH_S_1F_01_26
20,OH,1F,01,27,OH_S_1F_01_27
21,OH,1F,01,28,OH_S_1F_01_28
22,OH,1F,01,29,OH_S_1F_01_29
23,OH,1F,01,30,OH_S_1F_01_30
24,OH,1F,01,31,OH_S_1F_01_31
25,OH,1F,01,32,OH_S_1F_01_32
26,OH,1F,01,33,OH_S_1F_01_33
27,OH,1F,01,34,OH_S_1F_01_34
28,OH,1F,01,35,OH_S_1F_01_35
29,OH,1F,01,36,OH_S_1F_01_36
30,OH,1F,01,37,OH_S_1F_01_37
31,OH,1F,02,05,OH_S_1F_02_05
32,OH,1F,02,06,OH_S_1F_02_06
33,OH,1F,02,07,OH_S_1F_02_07
34,OH,1F,02,08,OH_S_1F_02_08
35,OH,1F,02,09,OH_S_1F_02_09
36,OH,1F,02,10,OH_S_1F_02_10
37,OH,1F,02,11,OH_S_1F_02_11
38,OH,1F,02,12,OH_S_1F_02_12
39,OH,1F,02,13,OH_S_1F_02_13
40,OH,1F,02,14,OH_S_1F_02_14
41,OH,1F,02,15,OH_S_1F_02_15
42,OH,1F,02,16,OH_S_1F_02_16
43,OH,1F,02,17,OH_S_1F_02_17
44,OH,1F,02,18,OH_S_1F_02_18
45,OH,1F,02,19,OH_S_1F_02_19
46,OH,1F,02,20,OH_S_1F_02_20
47,OH,1F,02,21,OH_S_1F_02_21
48,OH,1F,02,22,OH_S_1F_02_22
49,OH,1F,02,23,OH_S_1F_02_23
50,OH,1F,02,24,OH_S_1F_02_24
51,OH,1F,02,25,OH_S_1F_02_25
52,OH,1F,02,26,OH_S_1F_02_26
53,OH,1F,02,27,OH_S_1F_02_27
54,OH,1F,02,28,OH_S_1F_02_28
55,OH,1F,02,29,OH_S_1F_02_29
56,OH,1F,02,30,OH_S_1F_02_30
57,OH,1F,02,31,OH_S_1F_02_31
58,OH,1F,02,32,OH_S_1F_02_32
59,OH,1F,02,33,OH_S_1F_02_33
60,OH,1F,02,34,OH_S_1F_02_34
61,OH,1F,02,35,OH_S_1F_02_35
62,OH,1F,02,36,OH_S_1F_02_36
63,OH,1F,02,37,OH_S_1F_02_37
64,OH,1F,02,38,OH_S_1F_02_38
65,OH,1F,03,04,OH_S_1F_03_04
66,OH,1F,03,05,OH_S_1F_03_05
67,OH,1F,03,06,OH_S_1F_03_06
68,OH,1F,03,07,OH_S_1F_03_07
69,OH,1F,03,08,OH_S_1F_03_08
70,OH,1F,03,09,OH_S_1F_03_09
71,OH,1F,03,10,OH_S_1F_03_10
72,OH,1F,03,11,OH_S_1F_03_11
