,hall,floor,row,col,seat,id,from,to,x,y,z
0,OH,1F,01,7,OH_S_1F_01_07,_p08597,_p00011,_p00012,0.727093796082401,0.6941046074306945,0.2338381021835185
1,OH,1F,01,8,OH_S_1F_01_08,_p08591,_p00005,_p00011,0.7310971213254149,0.6930156975560365,0.2338381021835185
2,OH,1F,01,9,OH_S_1F_01_09,_p10061,_p00009,_p00005,0.7351494897255941,0.691763355345412,0.2338381021835185
3,OH,1F,01,10,OH_S_1F_01_10,_p08609,_p00009,_p00003,0.7393680367280664,0.6903658890546271,0.2338381021835185
4,OH,1F,01,11,OH_S_1F_01_11,_p08615,_p00003,_p00002,0.743444216541841,0.6889120601752872,0.2338381021835185
5,OH,1F,01,12,OH_S_1F_01_12,_p10339,_p10331,_p10330,0.7579511322953845,0.6826067352142823,0.2338381021835185
6,OH,1F,01,13,OH_S_1F_01_13,_p10338,_p10329,_p10331,0.7620177039948973,0.6806046172078711,0.2338381021835185
7,OH,1F,01,14,OH_S_1F_01_14,_p10337,_p10328,_p10329,0.7660186063221414,0.6784637015343535,0.2338381021835185
8,OH,1F,01,15,OH_S_1F_01_15,_p10874,790435977,_p10328,0.7700962064658449,0.6762401590728742,0.2338381021835185
9,OH,1F,01,16,OH_S_1F_01_16,_p10873,_p10327,790435977,0.7736021655854101,0.6740782512106887,0.2338381021835185
10,OH,1F,01,17,OH_S_1F_01_17,_p10335,_p10326,_p10327,0.7772306072745938,0.6716150718929702,0.2338381021835185
11,OH,1F,01,18,OH_S_1F_01_18,_p10334,_p10325,_p10326,0.7809160292588079,0.6689677556148724,0.2338381021835185
12,OH,1F,01,19,OH_S_1F_01_19,_p10333,_p10324,_p10325,0.7844280874421914,0.666234265923256,0.2338381021835185
13,OH,1F,01,20,OH_S_1F_01_20,_p10332,_p10323,_p10324,0.7878603565028204,0.6634152738014061,0.2338381021835185
14,OH,1F,01,21,OH_S_1F_01_21,_p10844,539952196,_p10323,0.7912403240023237,0.6606206287840916,0.2338381021835185
15,OH,1F,01,22,OH_S_1F_01_22,_p10843,_p10564,539952196,0.7946339099594377,0.6578315433418405,0.2338381021835185
16,OH,1F,01,23,OH_S_1F_01_23,_p10572,_p10565,_p10564,0.7980890713966539,0.6546555881589086,0.2338381021835185
17,OH,1F,01,24,OH_S_1F_01_24,_p10571,_p10566,_p10565,0.801394513349015,0.6513689207484427,0.2338381021835185
18,OH,1F,01,25,OH_S_1F_01_25,_p10570,_p10567,_p10566,0.8046530844135584,0.6479244764317786,0.2338381021835185
19,OH,1F,01,26,OH_S_1F_01_26,_p10569,_p10568,_p10567,0.8078558448665628,0.6443961592154973,0.2338381021835185
20,OH,1F,01,27,OH_S_1F_01_27,_p10814,316811555,_p10568,0.8107955936352526,0.6410686576846462,0.2338381021835185
21,OH,1F,01,28,OH_S_1F_01_28,_p10813,_p10576,316811555,0.8137753622885685,0.6375888429680251,0.2338381021835185
22,OH,1F,01,29,OH_S_1F_01_29,_p10579,_p10575,_p10576,0.8167034142225272,0.6339395570667085,0.2338381021835185
23,OH,1F,01,30,OH_S_1F_01_30,_p10578,_p10574,_p10575,0.8192709529996092,0.630332255542588,0.2338381021835185
24,OH,1F,01,31,OH_S_1F_01_31,_p10577,_p10573,_p10574,0.8214614359535741,0.6268941376389778,0.2338381021835185
25,OH,1F,01,32,OH_S_1F_01_32,_p11180,_p11174,_p11175,0.831048412363564,0.6125688380833108,0.2338381021835185
26,OH,1F,01,33,OH_S_1F_01_33,_p11179,_p11173,_p11174,0.8332475008459345,0.608286431607835,0.2338381021835185
27,OH,1F,01,34,OH_S_1F_01_34,_p11216,_p00015,_p11173,0.8353059766648215,0.6039693257155478,0.2338381021835185
